"file","year","month","tmax","tmin","ppt"
"tmax_4kmM2_199607","1996","07",29.3509091463956,NA,NA
"tmax_4kmM2_199608","1996","08",29.1027273698287,NA,NA
"tmax_4kmM2_199609","1996","09",25.3945452950218,NA,NA
"tmax_4kmM2_199610","1996","10",19.7572727203369,NA,NA
"tmax_4kmM2_199611","1996","11",10.660909132524,NA,NA
"tmax_4kmM2_199612","1996","12",8.96545444835316,NA,NA
"tmax_4kmM2_199701","1997","01",6.47272725538774,NA,NA
"tmax_4kmM2_199702","1997","02",10.3909091949463,NA,NA
"tmax_4kmM2_199703","1997","03",13.8218180049549,NA,NA
"tmax_4kmM2_199704","1997","04",17.2427271062678,NA,NA
"tmax_4kmM2_199705","1997","05",22.8572725816206,NA,NA
"tmax_4kmM2_199706","1997","06",27.6245455308394,NA,NA
"tmax_4kmM2_199707","1997","07",31.3818182511763,NA,NA
"tmax_4kmM2_199708","1997","08",29.8754544691606,NA,NA
"tmax_4kmM2_199709","1997","09",25.852727023038,NA,NA
"tmax_4kmM2_199710","1997","10",20.3318183205344,NA,NA
"tmax_4kmM2_199711","1997","11",11.665454604409,NA,NA
"tmax_4kmM2_199712","1997","12",9.22363636710427,NA,NA
"tmax_4kmM2_199801","1998","01",9.98000006242232,NA,NA
"tmax_4kmM2_199802","1998","02",10.0990909229625,NA,NA
"tmax_4kmM2_199803","1998","03",13.3000001040372,NA,NA
"tmax_4kmM2_199804","1998","04",20.6118181402033,NA,NA
"tmax_4kmM2_199805","1998","05",25.0727272033691,NA,NA
"tmax_4kmM2_199806","1998","06",28.0100000554865,NA,NA
"tmax_4kmM2_199807","1998","07",31.6536362387917,NA,NA
"tmax_4kmM2_199808","1998","08",31.955454566262,NA,NA
"tmax_4kmM2_199809","1998","09",29.8727274808017,NA,NA
"tmax_4kmM2_199810","1998","10",20.6781820817427,NA,NA
"tmax_4kmM2_199811","1998","11",15.4236362630671,NA,NA
"tmax_4kmM2_199812","1998","12",11.7963637438687,NA,NA
"tmax_4kmM2_199901","1999","01",8.37272730740634,NA,NA
"tmax_4kmM2_199902","1999","02",9.3881818597967,NA,NA
"tmax_4kmM2_199903","1999","03",11.5518181540749,NA,NA
"tmax_4kmM2_199904","1999","04",19.814545544711,NA,NA
"tmax_4kmM2_199905","1999","05",25.3781819777055,NA,NA
"tmax_4kmM2_199906","1999","06",29.0372728867964,NA,NA
"tmax_4kmM2_199907","1999","07",33.7481824701483,NA,NA
"tmax_4kmM2_199908","1999","08",31.9190906177868,NA,NA
"tmax_4kmM2_199909","1999","09",25.9536365162243,NA,NA
"tmax_4kmM2_199910","1999","10",19.2018181193959,NA,NA
"tmax_4kmM2_199911","1999","11",17.3236363150857,NA,NA
"tmax_4kmM2_199912","1999","12",9.76636366410689,NA,NA
"tmax_4kmM2_200001","2000","01",6.49727275154807,NA,NA
"tmax_4kmM2_200002","2000","02",10.5727272900668,NA,NA
"tmax_4kmM2_200003","2000","03",16.4490909576416,NA,NA
"tmax_4kmM2_200004","2000","04",18.0709093267267,NA,NA
"tmax_4kmM2_200005","2000","05",25.760909167203,NA,NA
"tmax_4kmM2_200006","2000","06",28.9072726856578,NA,NA
"tmax_4kmM2_200007","2000","07",28.4609090631658,NA,NA
"tmax_4kmM2_200008","2000","08",28.7763637195934,NA,NA
"tmax_4kmM2_200009","2000","09",25.3154543096369,NA,NA
"tmax_4kmM2_200010","2000","10",21.6072729284113,NA,NA
"tmax_4kmM2_200011","2000","11",13.1345452395352,NA,NA
"tmax_4kmM2_200012","2000","12",4.09999999133023,NA,NA
"tmax_4kmM2_200101","2001","01",5.50909085707231,NA,NA
"tmax_4kmM2_200102","2001","02",9.78363643993031,NA,NA
"tmax_4kmM2_200103","2001","03",11.0927272276445,NA,NA
"tmax_4kmM2_200104","2001","04",20.2236362804066,NA,NA
"tmax_4kmM2_200105","2001","05",24.4872727827592,NA,NA
"tmax_4kmM2_200106","2001","06",28.9636362249201,NA,NA
"tmax_4kmM2_200107","2001","07",29.2436362179843,NA,NA
"tmax_4kmM2_200108","2001","08",30.8254543651234,NA,NA
"tmax_4kmM2_200109","2001","09",26.1600000208074,NA,NA
"tmax_4kmM2_200110","2001","10",21.6099999167702,NA,NA
"tmax_4kmM2_200111","2001","11",18.3399999791926,NA,NA
"tmax_4kmM2_200112","2001","12",12.1127274253152,NA,NA
"tmax_4kmM2_200201","2002","01",9.83363637057218,NA,NA
"tmax_4kmM2_200202","2002","02",11.7818181297996,NA,NA
"tmax_4kmM2_200203","2002","03",13.9581817280162,NA,NA
"tmax_4kmM2_200204","2002","04",20.969090721824,NA,NA
"tmax_4kmM2_200205","2002","05",23.9481816725297,NA,NA
"tmax_4kmM2_200206","2002","06",30.0145457874645,NA,NA
"tmax_4kmM2_200207","2002","07",32.1399999098344,NA,NA
"tmax_4kmM2_200208","2002","08",32.3718185424805,NA,NA
"tmax_4kmM2_200209","2002","09",27.3254543651234,NA,NA
"tmax_4kmM2_200210","2002","10",18.7263637889515,NA,NA
